seed_aleatoria_usada,fit_melhor_indiv,fit_pior_indiv,fit_media_pop,indiv_repetidos_pop,indiv_cross_melhores_que_pais,indiv_cross_piores_que_pais
69248,21.485882348892115,23.436876484274517,22.78676803879829,27,25,23
69248,21.485882348892115,23.34508608777072,22.705501147978907,29,29,19
69248,21.485882348892115,23.188589894010367,22.690097398311863,24,30,18
69248,21.178786128280226,23.270034671729192,22.608053778050113,30,24,24
69248,21.178786128280226,23.270034671729192,22.686323226917725,27,26,22
69248,21.178786128280226,29.632653482317593,23.14311347533953,30,24,24
69248,21.178786128280226,23.473927710476474,22.561478214742483,23,25,23
69248,21.178786128280226,22.897083222468492,22.5268930624589,29,26,22
69248,21.133005165395268,23.101575842715782,22.41240235954958,34,27,21
69248,21.133005165395268,22.906605895243054,22.356836066804064,22,29,19
69248,21.133005165395268,23.282549464500075,22.586640890787162,18,35,13
69248,21.133005165395268,23.21173467142922,22.43433425453894,24,25,23
69248,21.133005165395268,23.057853729101076,22.36355714303038,21,36,12
69248,21.133005165395268,23.074873995476064,22.424381148240194,16,31,17
69248,21.088049355210952,22.938596856341462,22.387337239898372,21,29,19
69248,21.088049355210952,23.115846799253852,22.308261983474573,18,29,19
69248,21.088049355210952,22.828803129620663,22.185658860240746,22,34,14
69248,21.088049355210952,23.35734078179062,22.204222647913834,18,29,19
69248,21.088049355210952,23.40234738049984,22.33872812744819,18,26,22
69248,21.088049355210952,23.63487609470251,22.061484787750818,17,30,18
69248,21.088049355210952,24.208214475548836,22.06511571115756,15,26,22
69248,21.088049355210952,23.216454675515457,21.789595450495295,19,25,23
69248,21.088049355210952,22.998171817302744,21.73297574439921,20,35,13
69248,21.088049355210952,23.139966209766076,21.90326200736828,24,32,16
69248,20.84382599953228,22.76237840775594,21.47925075731525,22,24,24
69248,20.18926858343084,24.816417118105306,22.15185926220756,19,34,14
69248,20.17553166521743,23.21173467142922,21.599693804637596,15,22,26
69248,20.17553166521743,23.196185500287346,21.500114526393077,21,31,17
69248,20.17553166521743,23.00948880117289,21.956845709265195,18,38,10
69248,20.17553166521743,24.661490096807025,21.732730928285836,21,35,13
69248,18.813277026813854,23.537303205257338,21.583332371885536,23,30,18
69248,18.813277026813854,24.208214475548836,21.642494463768518,21,28,20
69248,18.813277026813854,24.33230497100575,21.449906393349547,15,30,18
69248,18.813277026813854,22.94982287423111,21.278366808631258,23,30,18
69248,18.813277026813854,23.708433160272133,21.38154794465221,16,35,13
69248,18.813277026813854,23.840756839890574,21.363760551259976,16,36,12
69248,18.812618843441495,29.171711332827115,21.09663329466175,21,27,21
69248,18.812618843441495,27.84042165184496,21.25900514882612,15,35,13
69248,18.732815324593332,49.03088580461362,21.1299448865388,17,25,23
69248,18.732815324593332,26.220436940558564,20.8114147717688,21,35,13
69248,18.732815324593332,33.988829540500205,20.996403774961344,18,29,19
69248,18.732815324593332,28.651242316702007,20.344154029529342,19,37,11
69248,18.579782757786592,25.758958689744286,19.92782731169857,22,24,24
69248,18.579782757786592,28.5833737732428,21.767211805834204,16,37,11
69248,18.579782757786592,30.200364608243298,20.762482984764162,18,28,20
69248,18.579782757786592,60.9704751733148,21.19916342891253,19,38,10
69248,18.579782757786592,89.97612446865355,27.099822136939114,15,32,16
69248,18.579782757786592,24.77479739173498,20.51172593218776,20,29,19
69248,18.579782757786592,88.60501163462757,23.117987089651333,22,31,17
69248,18.579782757786592,86.26528141216029,22.077041116650886,19,27,21
