seed_aleatoria_usada,fit_melhor_indiv,fit_pior_indiv,fit_media_pop,indiv_repetidos_pop,indiv_cross_melhores_que_pais,indiv_cross_piores_que_pais
8877,21.89115564599793,202.2307523501544,26.283833398161207,29,24,24
8877,21.89115564599793,23.240664411457296,22.68817632648695,30,25,23
8877,21.804967710793708,23.252588290154662,22.696945352483198,26,23,25
8877,21.804967710793708,23.383408573683894,22.61209488624961,28,24,24
8877,21.804967710793708,23.41004416879823,22.595278603115776,30,30,18
8877,21.804967710793708,24.208214475548836,22.640680333312865,24,31,17
8877,21.675412803086385,23.21173467142922,22.373776683653528,28,29,19
8877,21.37395453439449,23.41004416879823,22.27293222046775,25,33,15
8877,20.962703473720765,23.780548192903435,22.338506994556486,19,33,15
8877,20.882646551837926,23.633326251214772,22.152130448185748,20,33,15
8877,20.882646551837926,23.73570129726336,22.159562829462715,22,30,18
8877,20.882646551837926,25.552145922953578,22.27161531033576,23,34,14
8877,20.775904941976048,23.77895510242615,22.228445633259753,23,32,16
8877,20.775904941976048,23.50607888615337,22.18389431833149,23,31,17
8877,20.689958053124116,23.41004416879823,21.926613113314975,20,25,23
8877,20.308463710213136,23.41004416879823,21.696374568122728,15,29,19
8877,20.161001471384846,23.05535323701894,21.49093645474794,14,30,18
8877,20.161001471384846,23.50765246427104,21.48199386432298,17,29,19
8877,20.161001471384846,23.507739841613464,21.42012229516659,16,30,18
8877,19.65895236746205,23.981787343299633,21.49543250523707,15,35,13
8877,19.65895236746205,22.304836721125223,20.97122711737306,17,26,22
8877,19.65895236746205,22.092670514914964,20.959892559840412,15,30,18
8877,19.65895236746205,22.71172389495606,20.923803994348717,15,30,18
8877,19.65895236746205,28.145365116903807,20.97620167872798,17,28,20
8877,19.635451763530046,22.06232564180187,20.467397226874176,18,28,20
8877,19.257945550505024,22.177727756541103,20.453140563559142,18,31,17
8877,19.257945550505024,21.432939453690373,20.302163281070627,19,31,17
8877,19.257945550505024,21.755311950539326,20.27873051840661,22,27,21
8877,19.197849693717725,21.744526092186895,20.1522926902085,17,28,20
8877,19.152881512414655,21.54710665130211,20.3091130909844,21,29,19
8877,19.152881512414655,21.05029803743974,20.16370370377124,19,23,25
8877,19.152881512414655,23.41280613879653,20.46979305633998,15,28,20
8877,19.152881512414655,21.042001748917848,20.036150227312064,17,29,19
8877,19.152881512414655,21.25037880757136,19.950800791604212,15,30,18
8877,19.152881512414655,23.47598307251099,20.079087251759496,18,29,19
8877,19.152881512414655,22.94501776674736,19.742049369708067,16,29,19
8877,18.964062859747703,20.297749399018862,19.654925790122697,16,30,18
8877,18.964062859747703,20.218316611324116,19.464763356099503,15,28,20
8877,18.89560324738289,23.020564143651804,19.697581411651825,18,30,18
8877,18.810703329588208,20.629712898661023,19.417626087571595,18,28,20
8877,18.809474327516966,20.628235817895096,19.33638478038572,20,32,16
8877,18.804577259705965,22.47340515440965,19.31384289539636,17,30,18
8877,18.804577259705965,22.313707378148905,19.323225010430477,17,31,17
8877,18.804577259705965,20.115553127021556,19.235962496254288,16,33,15
8877,18.730085395897188,21.873469238168784,19.25712509222137,14,31,17
8877,18.730085395897188,20.573991017037415,19.207062557597112,20,30,18
8877,18.730085395897188,19.941534665290863,18.94068565523316,27,30,18
8877,18.730085395897188,22.660129691481167,18.99378458733918,17,28,20
8877,18.70169880009912,19.227530504909847,18.879789525767006,20,31,17
8877,18.70169880009912,22.46556528650717,19.038245602828027,18,32,16
