seed_aleatoria_usada,fit_melhor_indiv,fit_pior_indiv,fit_media_pop,indiv_repetidos_pop,indiv_cross_melhores_que_pais,indiv_cross_piores_que_pais
23087,21.979003237746433,23.362223998673546,22.751601122320142,30,21,27
23087,21.848315605397502,23.362223998673546,22.686927428866102,31,24,24
23087,21.848315605397502,23.41004416879823,22.581144731402084,31,22,26
23087,21.848315605397502,23.847670603711737,22.50246327328041,31,27,21
23087,21.848315605397502,23.350644025800946,22.463143660171987,37,28,20
23087,21.848315605397502,23.573011165756043,22.449653877912677,31,19,29
23087,21.848315605397502,23.350644025800946,22.46090857542013,26,34,14
23087,21.848315605397502,23.350644025800946,22.519388936152236,27,35,13
23087,21.848315605397502,23.350644025800946,22.484930832796397,23,27,21
23087,21.404403296835113,22.83423558667365,22.275380040074314,28,30,18
23087,21.404403296835113,23.350644025800946,22.250127627090386,25,31,17
23087,21.404403296835113,23.350644025800946,22.171459445647383,28,30,18
23087,20.989713342351195,25.41404339876913,22.401272662694215,24,33,15
23087,20.989713342351195,23.589890688201923,22.03566008047959,30,25,23
23087,20.989713342351195,23.65038127064184,22.195448810170422,23,33,15
23087,20.737127974968377,24.596752465179463,22.245400693748614,24,33,15
23087,20.737127974968377,24.899532265590185,22.219571598433358,26,31,17
23087,20.737127974968377,23.589890688201923,22.059885052603168,22,28,20
23087,20.374471988216026,24.272805944537758,21.73417047080891,21,31,17
23087,20.374471988216026,23.519655231545833,21.65988273912506,24,32,16
23087,20.262880046992482,23.598068735633113,21.37901063471207,26,30,18
23087,20.262880046992482,23.448788516102347,21.378843120587,28,33,15
23087,20.039944293836236,23.057853729101076,21.25909275831954,24,27,21
23087,20.039944293836236,23.810389583205733,21.531114967877762,26,36,12
23087,20.039944293836236,23.237768749311815,21.52858055382969,34,31,17
23087,20.039944293836236,23.350644025800946,21.64923051442786,36,29,19
23087,20.039944293836236,24.862362005390846,21.267171048870342,36,27,21
23087,20.039944293836236,23.350644025800946,20.911831983065035,34,32,16
23087,20.039944293836236,22.828803129620663,20.788621744566317,35,27,21
23087,20.039944293836236,22.840106068553506,20.674365627273957,33,29,19
23087,19.990962834892507,22.828803129620663,20.77344293341023,31,27,21
23087,19.990962834892507,23.05535323701894,20.570078021041,33,28,20
23087,19.990962834892507,25.111454363520448,20.861313734477925,33,34,14
23087,19.990962834892507,22.48879334498387,20.64429945896306,33,30,18
23087,19.990962834892507,25.325687343101976,21.152192070453214,28,32,16
23087,19.990962834892507,22.828803129620663,21.217565404476574,29,29,19
23087,19.990962834892507,24.332982584678003,21.213216530316117,31,28,20
23087,19.990962834892507,24.332982584678003,21.023057520027127,28,27,21
23087,19.990962834892507,23.350644025800946,21.010155825676726,30,29,19
23087,19.834974791174353,23.72430400294047,21.015805607461225,26,29,19
23087,19.834974791174353,23.60293992929287,20.840402622925414,27,28,20
23087,19.771552864591047,22.296165538487678,20.6615298736169,25,32,16
23087,19.316034780257173,22.52272651423177,20.643780292460033,23,32,16
23087,19.316034780257173,22.828803129620663,21.001520682496842,20,35,13
23087,19.316034780257173,23.350644025800946,21.332256518570794,23,36,12
23087,19.316034780257173,24.588704881060437,21.2636987772202,24,31,17
23087,19.316034780257173,22.85561124546542,20.88747887864169,24,25,23
23087,18.995986302480205,22.93256374076437,20.59953629625352,21,28,20
23087,18.995986302480205,21.385336916544397,20.34866708915843,19,30,18
23087,18.995986302480205,22.33105300343633,20.413071329817967,17,29,19
