fit_melhor_indiv_da_iteracao_base_treino,fit_melhor_indiv_da_iteracao_base_teste
18.579782757786592,26.078870524178246
8.426727599813102,12.872542526190554
8.983811406142383,13.529440293109268
6.489632564467124,7.593141198964632
19.50295050315085,27.54105524778403
18.553651170734618,26.043592684586816
13.600319750301285,18.580695024497114
20.49093791306542,28.620480324935134
19.216425563668828,27.00276011767856
9.877863469709208,32.33415958520002
18.995986302480205,26.838358684715363
13.044116008201673,30.03321569856337
16.736996412739387,23.15645590751204
18.136918468361834,25.30792645079357
15.415291674636098,21.12649404048529
12.80877634157976,18.84441585418514
18.35203047190275,25.060495903858694
11.415566777639986,18.24808719639734
8.462385322659433,13.50015186568185
11.93114812711023,21.410629060233525
17.528130462910752,24.788065992809464
14.509169285189719,21.328479508160957
17.221223745536218,24.080130055391496
18.486518957732557,25.50055961564861
18.118276026758558,21.629372145713937
16.9644809868222,24.952429320494847
18.70169880009912,26.94432009986829
3.4392866512591334,5.392754714256691
10.10309982067272,16.650115491550228
9.087833823647198,11.92899900057374
