seed_aleatoria_usada,fit_melhor_indiv,fit_pior_indiv,fit_media_pop,indiv_repetidos_pop,indiv_cross_melhores_que_pais,indiv_cross_piores_que_pais
9830,22.279843537012393,70.95810879078432,24.629180682058447,24,26,22
9830,22.266488959880824,23.777935621025296,22.758954012352163,29,30,18
9830,22.266488959880824,24.85962742986281,22.78791596493418,33,27,21
9830,22.266488959880824,37.92000784140187,22.87367956326031,32,27,21
9830,21.961620779997286,23.228657372412787,22.50056447723587,34,23,25
9830,21.869202928447404,22.88402632188746,22.337765070246725,37,21,27
9830,21.84148939336032,22.724838932218013,22.358637526426783,37,21,27
9830,21.43792870685151,22.94375949169955,22.083281100324708,33,22,26
9830,21.05703957254734,23.41004416879823,21.853902349418618,34,22,26
9830,20.366828366487685,22.71172389495606,21.66754252399176,33,23,25
9830,19.537519422856146,22.71172389495606,21.31005040279492,32,24,24
9830,19.537519422856146,22.827687057850614,20.85323892808381,26,22,26
9830,19.114249495034702,21.961620779997286,20.34686640327939,26,23,25
9830,18.97345361598772,21.961620779997286,19.888648315659708,23,23,25
9830,18.689504791148075,22.494663446941242,19.766241673976563,26,21,27
9830,18.689504791148075,20.489300469343473,19.339496566801188,29,24,24
9830,18.689504791148075,20.13377031816212,19.166474077366164,26,22,26
9830,18.689504791148075,21.028785803217716,18.961421025040536,26,22,26
9830,18.682695844628512,20.166204450429255,18.981602844617562,27,24,24
9830,18.68176799441487,19.667815937229445,18.84252979266395,31,26,22
9830,18.68176799441487,19.114249495034702,18.760438810861917,29,28,20
9830,18.68176799441487,19.129501138248763,18.75508912537923,23,23,25
9830,18.68176799441487,19.089927548464626,18.776023934793724,25,32,16
9830,18.68176799441487,19.154872940354945,18.789757204030604,25,29,19
9830,18.68176799441487,19.284331499644914,18.766233365149894,26,31,17
9830,18.68176799441487,19.353182967362134,18.73001256611041,34,27,21
9830,18.68176799441487,20.059039482476717,18.749133151103106,32,29,19
9830,18.68176799441487,19.280863845788076,18.779504400693337,27,35,13
9830,18.68176799441487,18.864160380433137,18.719126283077795,33,30,18
9830,18.68176799441487,19.785232595017195,18.821257187294716,27,27,21
9830,18.68176799441487,19.95495399926978,18.883705031440662,26,28,20
9830,18.574714905666642,19.66437539362528,18.819150966654494,29,27,21
9830,18.119521650828148,19.292238115844835,18.747146973152866,28,29,19
9830,18.119521650828148,19.469652119017947,18.75368569166312,31,27,21
9830,18.119521650828148,19.412476920379216,18.716889442953015,29,29,19
9830,18.119521650828148,19.651194878635458,18.759200796067322,21,34,14
9830,18.119521650828148,19.66437539362528,18.740079219788313,24,24,24
9830,18.109421547509523,19.496075740404276,18.68862195931935,27,26,22
9830,18.08590077452555,20.489300469343473,18.6131007201968,26,29,19
9830,18.007471941563892,18.876056886974972,18.45578899823335,25,28,20
9830,18.007471941563892,22.716053116687263,18.444985444572033,23,28,20
9830,17.95950400914333,18.880659653542676,18.232215986765258,29,28,20
9830,17.95950400914333,19.01306169634919,18.273027876567916,29,30,18
9830,17.954682752022435,18.955777566982,18.21620104954069,20,30,18
9830,17.466754112277798,18.61866747152234,18.125982716315303,30,26,22
9830,17.466754112277798,18.80061274316741,18.174481363460682,27,26,22
9830,17.466754112277798,24.485659171043835,18.228440472904424,22,29,19
9830,17.466754112277798,18.858933560156846,18.061659914647706,19,27,21
9830,17.221223745536218,22.71172389495606,17.891349913281886,22,26,22
9830,17.221223745536218,18.549247630233584,17.73564100268997,25,25,23
