seed_aleatoria_usada,fit_melhor_indiv,fit_pior_indiv,fit_media_pop,indiv_repetidos_pop,indiv_cross_melhores_que_pais,indiv_cross_piores_que_pais
50425,21.0784327806988,24.208214475548836,22.761400593154377,58,55,43
50425,21.0784327806988,23.589890688201923,22.69217620933875,58,55,43
50425,21.0784327806988,23.756020869785633,22.681989804430536,61,55,43
50425,21.0784327806988,27.335479652469797,22.582783397966082,63,46,52
50425,21.0784327806988,23.350644025800946,22.516327349685845,73,40,58
50425,21.0784327806988,23.24181620748428,22.461203316891236,70,42,56
50425,21.0784327806988,23.115843271618516,22.449064275585073,70,40,58
50425,21.0784327806988,23.777935621025296,22.354697853946995,83,36,62
50425,21.0784327806988,28.54406657442546,22.570987345220633,79,47,51
50425,21.0784327806988,23.785188720738205,22.435097852120347,80,31,67
50425,21.0784327806988,23.785188720738205,22.425244116008315,79,31,67
50425,21.0784327806988,24.18468392476049,22.55840516734806,77,30,68
50425,21.0784327806988,23.785188720738205,22.406654973281764,81,34,64
50425,21.0784327806988,23.41004416879823,22.43990901663803,81,25,73
50425,21.0784327806988,23.250737942084623,22.387290564217437,77,35,63
50425,21.0784327806988,23.404091711248764,22.40328782507764,70,34,64
50425,21.0784327806988,24.092832624073527,22.373444292892117,74,44,54
50425,21.0784327806988,24.417016423041623,22.395225930003477,77,44,54
50425,21.0784327806988,23.02043793421637,22.402188785000295,75,49,49
50425,21.0784327806988,24.417016423041623,22.493146355014833,77,54,44
50425,21.0784327806988,23.92606122226261,22.452347110254017,75,37,61
50425,21.0784327806988,23.41004416879823,22.463837672557183,76,53,45
50425,21.0784327806988,23.057853729101076,22.413405682684015,79,49,49
50425,21.0784327806988,22.88402632188746,22.450932077349457,79,51,47
50425,21.0784327806988,23.291521737625104,22.37634201907507,75,41,57
50425,21.0784327806988,22.98947196693437,22.375360699766507,74,50,48
50425,21.0784327806988,23.53205689222916,22.407939345066737,65,55,43
50425,21.0784327806988,23.115843271618516,22.49078274761203,66,58,40
50425,21.0784327806988,23.350644025800946,22.45331628981256,68,43,55
50425,21.0784327806988,24.410576618752632,22.42347489341236,60,54,44
50425,21.0784327806988,23.133803505550745,22.41678734501958,62,50,48
50425,21.0784327806988,23.554873210282388,22.405241418320962,49,56,42
50425,21.0784327806988,23.39840765665424,22.37793706703421,54,56,42
50425,21.0784327806988,23.04455846196521,22.372315898331973,57,64,34
50425,21.0784327806988,23.67654173519506,22.371390484376228,58,63,35
50425,21.0784327806988,23.21173467142922,22.387587032020292,55,61,37
50425,21.0784327806988,23.19075625428845,22.413741854789134,56,59,39
50425,21.0784327806988,22.828803129620663,22.300139488241776,66,45,53
50425,21.0784327806988,23.21173467142922,22.319907734160605,67,48,50
50425,21.0784327806988,22.977720894312714,22.23123508194136,65,43,55
50425,21.0784327806988,22.967242431473476,22.233847652336763,67,54,44
50425,21.0784327806988,22.828803129620663,22.23958595938909,76,45,53
50425,21.0784327806988,22.828803129620663,22.177931390829432,77,41,57
50425,21.0784327806988,23.059312665684807,22.23173042422012,62,49,49
50425,21.0784327806988,23.115843271618516,22.185147153773197,59,57,41
50425,21.0784327806988,24.0059014138914,22.177880516552914,58,61,37
50425,20.414046401553048,23.9539200107251,22.139909680995164,51,66,32
50425,19.819719047055333,23.222779217273988,22.134313888952466,50,63,35
50425,19.64504255200999,23.787158063212928,21.932940745666066,46,53,45
50425,19.33520486278578,23.306500082446213,21.695179428708126,37,63,35
