seed_aleatoria_usada,fit_melhor_indiv,fit_pior_indiv,fit_media_pop,indiv_repetidos_pop,indiv_cross_melhores_que_pais,indiv_cross_piores_que_pais
70958,19.39869211136564,24.719156190478337,22.702867831628676,59,48,50
70958,19.39869211136564,23.53205689222916,22.55614834654796,67,48,50
70958,19.39869211136564,24.65371387996161,22.613635397634848,69,56,42
70958,19.39869211136564,23.833449371481212,22.554375717267156,71,60,38
70958,19.39869211136564,23.785188720738205,22.470283794678913,59,65,33
70958,19.19472870967378,117.18039406859737,23.321211043872907,59,57,41
70958,19.082560506533174,23.71110273434089,22.33238467522408,50,65,33
70958,19.082560506533174,29.160339000109797,22.371009579029078,51,61,37
70958,19.082560506533174,23.21173467142922,22.26621366438552,57,62,36
70958,19.082560506533174,23.199978260709074,22.07882840222635,56,60,38
70958,19.082560506533174,194.1059446131966,23.893400775440618,46,66,32
70958,18.71069001439964,23.122138220835,22.09365955141861,47,60,38
70958,18.71069001439964,23.785188720738205,22.07921499832889,47,61,37
70958,18.65104697582813,23.88600024266198,21.87782110703368,44,64,34
70958,16.084874251299976,28.294514880893555,21.55401951992571,42,61,37
70958,15.423355732233603,24.363431635110086,20.530567895358537,36,64,34
70958,15.365333121058649,45.580134295613796,20.07676687899221,35,58,40
70958,15.360679912095112,24.126105402145416,19.91134822193003,35,61,37
70958,13.142709872155358,25.234114929552295,19.465608496317078,45,61,37
70958,13.106930794512833,24.550500621894596,18.998641329819094,44,66,32
70958,13.106930794512833,29.829453222915213,19.333064243184495,44,64,34
70958,13.106930794512833,24.372115597677457,19.415022214060418,38,67,31
70958,12.099905743617033,29.354771854008685,19.02209604606318,38,64,34
70958,12.099905743617033,26.455679326784544,18.528698165386082,32,61,37
70958,12.099905743617033,22.924706705693676,17.641524786224977,32,58,40
70958,11.288759735862229,25.87266408121814,16.264425828814254,38,64,34
70958,11.288759735862229,21.907237594120396,15.281038527860199,42,57,41
70958,10.615240670263052,21.348551140942998,15.21523798106423,35,59,39
70958,10.615240670263052,27.507067607976683,14.724550782308743,42,58,40
70958,10.615240670263052,21.540502161388286,14.17540340573784,43,63,35
70958,10.615240670263052,34.26997905117032,14.026348146549301,44,62,36
70958,10.222699461045481,19.41648402346713,12.897111072434948,45,60,38
70958,10.222699461045481,22.426663784194286,12.889969089941816,39,64,34
70958,10.159296307103384,20.26393679200363,13.062725667803406,40,64,34
70958,9.982507383985343,27.512261297123313,12.714849131486853,52,62,36
70958,9.884216151171206,35.31005516855988,13.096131778834485,40,65,33
70958,9.884216151171206,22.60451030368355,12.06059504931577,46,63,35
70958,9.884216151171206,20.467932333641485,12.203868117254933,52,64,34
70958,9.884216151171206,24.39279747258404,11.68433695896465,43,64,34
70958,9.884216151171206,35.34562192960646,13.12010116462738,47,66,32
70958,8.551349080101577,25.865577255896547,12.405362194035938,50,63,35
70958,8.551349080101577,27.518800485809006,11.767411913408964,49,57,41
70958,8.551349080101577,26.251766316355067,12.08779502479122,33,67,31
70958,7.8668474240215005,43.73518445204481,12.29701363596695,37,55,43
70958,7.8668474240215005,136.44545674441434,13.11671027485434,46,69,29
70958,7.8668474240215005,136.5346088484888,13.078790313977064,43,62,36
70958,7.8668474240215005,136.38748159070255,15.78389439761269,40,68,30
70958,7.4386737582974565,136.53950877284242,14.292428210373535,46,60,38
70958,7.403517319761931,57.157684954379086,12.469104388593882,46,62,36
70958,6.912470607125791,26.310140143350285,11.406501232686683,43,64,34
