fit_melhor_indiv_da_iteracao_base_treino,fit_melhor_indiv_da_iteracao_base_teste
2.6284621340926835,4.0425300749984725
15.864559220702176,15.846839262121437
5.456730649272268,8.303614836602382
7.045645567065108,11.357355062888635
6.912470607125791,9.02965475001156
6.094102643371055,8.18498640274494
4.879111983624056,8.742535513361068
11.363065276367166,17.28324689547503
10.927306024465858,16.34238979933013
16.003093109067063,23.352296361144678
11.400375127547688,19.773162415783
16.683587227517943,23.137883079657033
18.633801533035875,28.896903627022986
13.406021373287837,24.725385801184864
2.021514918896157,2.2070410168368197
16.183426186500522,23.780438182377125
16.12103010832499,19.544499223392314
16.030190482775055,24.10396435486964
18.386335157091878,24.021731743862965
5.845095998536299,8.283475722166324
19.33520486278578,27.342802206243448
14.541959105154135,21.25420679464716
2.100928231015921,3.3425826573230704
14.253315114533658,20.732766761404832
15.454448213998296,22.850494288679986
6.463873877247724,9.285474818296299
10.499305859431026,17.037175181230218
4.3102748649096485,7.216269237628703
13.350512433547962,13.037128620803879
18.201185553969133,26.496343863809408
