seed_aleatoria_usada,fit_melhor_indiv,fit_pior_indiv,fit_media_pop,indiv_repetidos_pop,indiv_cross_melhores_que_pais,indiv_cross_piores_que_pais
93046,20.624566261431003,24.35323355656644,22.712781903359538,65,51,47
93046,20.624566261431003,25.117184281825182,22.661213094875283,69,41,57
93046,20.242623813640453,23.777935621025296,22.649478017174776,64,61,37
93046,20.242623813640453,23.21173467142922,22.43365476513475,65,51,47
93046,20.242623813640453,23.403402051564345,22.309591566717064,53,59,39
93046,19.815754666991417,63.483425103975144,22.697167915235635,41,64,34
93046,19.815754666991417,23.490537158722187,22.168977293423332,44,59,39
93046,19.815754666991417,23.41004416879823,22.042523839100124,38,58,40
93046,19.815754666991417,25.027834045262768,21.967237505527695,35,57,41
93046,19.106148937025083,27.358945313730185,21.712227304412863,37,58,40
93046,19.106148937025083,23.73009393263768,21.38471224101665,41,59,39
93046,18.823557131965334,23.31224598520857,20.942563014148096,40,62,36
93046,18.823557131965334,38.27170808365645,20.820092022710245,41,55,43
93046,18.48355366378563,24.543715227137543,20.54924599270555,29,54,44
93046,18.45392900180911,35.70329054894921,20.153974713188074,33,54,44
93046,18.325780908160358,39.5868355107757,19.959438379186373,40,57,41
93046,18.325780908160358,39.45570218413961,20.166418985467057,40,62,36
93046,18.325780908160358,24.526507609468812,20.053589857151394,35,66,32
93046,18.325780908160358,27.087729016286584,19.858803078479287,33,60,38
93046,18.325780908160358,27.259057300581084,19.935947482796088,34,63,35
93046,18.325780908160358,27.252603616067862,19.954538266843443,44,57,41
93046,18.325780908160358,28.136858257469793,19.613610564636343,36,52,46
93046,18.325780908160358,22.120893793619935,19.16823431205726,36,51,47
93046,18.325780908160358,29.75065542187868,19.45374014460974,36,65,33
93046,18.325780908160358,33.13591334385354,19.90126954008079,36,62,36
93046,18.325780908160358,27.308728487623043,19.29476226494222,40,59,39
93046,18.0861968142539,63.038318890734935,19.6105140943395,35,62,36
93046,17.854636483097558,25.80576910458644,19.43038809086984,29,62,36
93046,17.854636483097558,22.022133882175837,18.907159361509244,47,59,39
93046,17.854636483097558,25.83128837310111,19.236183644780848,49,56,42
93046,17.77932354039956,21.510760184877654,18.752403228220057,46,66,32
93046,17.681729671347924,50.91021951923822,19.299038528977736,42,66,32
93046,17.61910786289171,24.454828438935994,19.02810129888596,44,63,35
93046,17.61910786289171,29.115294328894127,18.77309613157143,41,64,34
93046,17.61910786289171,22.14972769572851,18.491495953925117,44,65,33
93046,17.528935733619758,61.27615894199883,19.41894642485721,38,64,34
93046,17.528935733619758,25.182747225832543,18.83021112084065,40,63,35
93046,17.364312547253938,32.02756023716212,18.88866636844289,34,68,30
93046,17.329649267645152,24.577008970153628,18.571913762899236,36,72,26
93046,17.329649267645152,24.94815344524597,18.535140681128883,41,63,35
93046,17.329649267645152,26.009162647342585,18.251806366912717,38,63,35
93046,17.329649267645152,24.93309671129457,18.474692156331727,42,69,29
93046,17.329649267645152,20.213467221297414,18.172432722997204,39,65,33
93046,17.315144383509892,22.636528126848546,18.327697970534004,41,73,25
93046,17.315144383509892,42.191579156081715,18.94916384531549,46,68,30
93046,17.263477066002526,36.900662369325104,18.490769653177743,28,66,32
93046,17.262599052454256,22.025634178469378,18.378367721164004,38,65,33
93046,17.050773573469787,24.58921027513537,18.14875240790453,42,67,31
93046,16.683587227517943,26.885635272841903,18.27363848319413,31,67,31
93046,16.683587227517943,21.654114771320874,18.144252766737424,36,61,37
