seed_aleatoria_usada,fit_melhor_indiv,fit_pior_indiv,fit_media_pop,indiv_repetidos_pop,indiv_cross_melhores_que_pais,indiv_cross_piores_que_pais
5944,21.757812873144356,23.816082211470132,22.603623105046836,48,56,42
5944,21.27267038640566,23.53205689222916,22.51508001606243,47,61,37
5944,20.95479335166029,23.812991332441467,22.318244478143164,47,57,41
5944,20.91090081381899,23.29072986743366,22.115740874643592,48,63,35
5944,20.53356882659905,24.567247607004322,22.160341725888955,40,67,31
5944,20.202013713737244,23.36842369216376,22.012273616677756,36,50,48
5944,19.87590566756648,23.833449371481212,21.841019923317898,40,56,42
5944,19.58687370359438,25.85509547443506,21.901702205698356,37,64,34
5944,19.58687370359438,23.631614708082402,21.823857238753668,40,60,38
5944,19.58687370359438,24.199507345506603,21.729743054349402,37,63,35
5944,19.368241448058825,22.94274254446925,21.640856810628833,33,62,36
5944,17.87984259891876,31.267989960036694,21.464282847967414,41,64,34
5944,17.59123362695711,23.639321160228448,20.991012787229444,39,63,35
5944,17.32199041977361,24.266517036593584,20.794510283298294,38,62,36
5944,17.301781344795852,32.28487987817627,20.2590479909176,33,61,37
5944,16.600298521271093,2497.743170474213,44.56441041375967,37,65,33
5944,14.621381787944342,37.594028562597906,20.01521616469311,36,60,38
5944,14.44274194940792,2497.418708459846,44.41624166737052,35,66,32
5944,13.288436528293683,53.1705008591336,19.942745740220463,38,61,37
5944,13.286265735509552,30.44372782021247,18.201245830299914,33,66,32
5944,12.44228307426648,669.8462048005795,24.55194990928754,33,67,31
5944,11.653712809053767,42.80432577197224,18.092207413016936,33,62,36
5944,11.653712809053767,51.06351340392774,19.31239511122893,41,69,29
5944,11.653712809053767,297.06375014994853,31.892603647508313,39,67,31
5944,11.071419575814025,30.615556559780128,18.620988969222662,46,63,35
5944,11.071419575814025,40.92252227069793,18.452253890290855,42,61,37
5944,11.071419575814025,169.59223460869637,18.586894392699445,38,59,39
5944,10.57490745948901,42.81354574568595,17.021327860283822,37,67,31
5944,10.57490745948901,38.81866923507875,16.910511497297573,35,69,29
5944,10.57490745948901,69.22215250344911,17.215250112950958,36,65,33
5944,8.235090688315779,484.73341030740534,32.26744635806334,38,74,24
5944,7.935697391173601,27.6156684896933,14.40519585352738,41,61,37
5944,7.935697391173601,52.65849439960117,15.504363998720835,34,70,28
5944,7.309573547787344,47.26549372777582,14.9915846874425,35,60,38
5944,6.8903732825085315,167.80209458827468,15.785555133745552,42,66,32
5944,6.807542176751903,164.30704797151554,16.169976274675417,32,58,40
5944,6.767228762082638,167.73585898800673,14.961636549120785,32,70,28
5944,6.75223600752632,37.03756905497225,12.744089873761325,35,66,32
5944,6.75223600752632,186.30085471822454,14.095984469044048,36,61,37
5944,6.750819514629301,28.02519856670505,11.659077266287259,44,60,38
5944,6.750819514629301,38.87469463350952,12.543357471044228,38,65,33
5944,6.624060654851369,33.187981372941756,11.367134103878115,31,67,31
5944,6.624060654851369,92.90605854600345,13.543436457147802,45,57,41
5944,6.624060654851369,117.07233783070343,13.930116826015256,30,65,33
5944,6.624060654851369,60.64257757064675,12.947122340549633,40,65,33
5944,6.548091498754181,39.837492970799225,12.901629403717235,37,66,32
5944,6.548091498754181,890.6101487572543,32.98473064989775,40,66,32
5944,6.548091498754181,50.698499505345936,12.005197444058556,47,64,34
5944,5.86087831615601,91.51780555162004,12.363576356766155,32,64,34
5944,5.845095998536299,30.12960108618985,10.613678046862713,30,61,37
