seed_aleatoria_usada,fit_melhor_indiv,fit_pior_indiv,fit_media_pop,indiv_repetidos_pop,indiv_cross_melhores_que_pais,indiv_cross_piores_que_pais
65547,20.654081038656713,56.09010926292166,24.319789715678812,54,59,39
65547,19.933173054141225,24.907800660598188,22.45148473892294,56,53,45
65547,18.9347348786166,23.715368185198095,22.233995599264674,60,53,45
65547,18.9347348786166,24.92067176107989,21.94920712255522,57,53,45
65547,18.48699380678298,25.0998658409706,21.595069896420647,44,60,38
65547,15.84726312648589,29.160339000109797,20.95193037280761,38,52,46
65547,15.84726312648589,25.73694637213228,20.803373609814695,45,60,38
65547,13.611435456907774,27.72034405781244,20.386013174925452,45,63,35
65547,13.611435456907774,233.47029237031322,24.438525726159984,46,64,34
65547,13.611435456907774,25.508308028423144,19.71489547215261,39,53,45
65547,13.611435456907774,97.59641332671855,20.25682418654959,48,62,36
65547,13.319434886047627,25.786375807895986,20.061795348591065,47,66,32
65547,13.319434886047627,27.414678214130856,18.964322770264314,45,55,43
65547,11.388429745926592,23.21173467142922,18.441467836884094,41,62,36
65547,9.270670700564613,28.83537070285784,18.43706995524494,46,57,41
65547,9.270670700564613,23.785188720738205,17.671478640813273,41,66,32
65547,9.270670700564613,29.54015993431281,16.376837703571656,41,62,36
65547,9.104068508087236,25.027834045262768,16.986083063494853,32,69,29
65547,9.104068508087236,23.689747737140976,16.029779425906796,43,61,37
65547,9.104068508087236,74.95337402618367,16.276088148068972,41,66,32
65547,9.104068508087236,23.624051216041032,15.282797482384433,44,62,36
65547,9.104068508087236,68.29030083621889,15.232155926539082,43,62,36
65547,7.753290220130001,66.70340203344608,15.77815546734488,53,64,34
65547,4.718003557364192,151.32257882750807,15.734173768668535,46,61,37
65547,3.941255387816569,152.51695254832347,17.76466786269577,40,65,33
65547,3.941255387816569,159.02967794992585,16.029388979812158,43,64,34
65547,3.5905918225643996,152.140427705426,16.892785540047925,38,68,30
65547,3.4849203075841864,156.85530711471145,17.098955433831392,43,64,34
65547,3.4849203075841864,152.140427705426,16.45507894984041,33,71,27
65547,3.4849203075841864,66.03782379813973,14.67336967253221,40,63,35
65547,3.4849203075841864,71.36839024319815,16.759994803461,39,62,36
65547,2.5654584745182287,84.21332285849489,19.379852876308554,39,70,28
65547,2.5654584745182287,62.83048623255434,11.539267079517082,39,61,37
65547,2.2840506246183887,67.07027548534822,12.814193922549116,39,60,38
65547,2.261669066611081,64.83928721991644,10.296656218209485,41,69,29
65547,2.261669066611081,187.09813140229883,17.35463750164414,48,63,35
65547,2.261669066611081,141.45358684521776,14.93081902651184,39,63,35
65547,2.261669066611081,180.84924297990958,15.230791766175326,46,68,30
65547,2.218231427528378,148.3802707484955,17.00486723677293,48,66,32
65547,2.218231427528378,38.544324483004615,11.607603705550364,47,60,38
65547,2.218231427528378,155.92604434771937,22.560257325548843,52,63,35
65547,2.100928231015921,156.13728022519857,12.9767137707973,44,57,41
65547,2.100928231015921,147.58792193230983,12.215806395967013,51,61,37
65547,2.100928231015921,220.39347354414386,15.321020286858898,45,66,32
65547,2.100928231015921,75.2807390529468,13.78091763784359,48,68,30
65547,2.100928231015921,422.92019861395954,16.986892602858685,43,65,33
65547,2.100928231015921,71.78877045459079,13.45439897605406,35,64,34
65547,2.100928231015921,213.31051216967745,16.198292643339855,42,61,37
65547,2.100928231015921,181.4795493255425,25.739546034084924,45,67,31
65547,2.100928231015921,127.35511338149301,19.883728745250515,41,64,34
