seed_aleatoria_usada,fit_melhor_indiv,fit_pior_indiv,fit_media_pop,indiv_repetidos_pop,indiv_cross_melhores_que_pais,indiv_cross_piores_que_pais
49440,22.117044093289405,28.902632357544285,22.76717816796963,68,46,52
49440,22.117044093289405,24.208214475548836,22.63823623518421,66,56,42
49440,22.01341361192805,23.174119222171996,22.547494711724145,73,58,40
49440,22.01341361192805,23.291521737625104,22.54457661315399,68,54,44
49440,22.01341361192805,23.291521737625104,22.506978248061934,67,41,57
49440,21.85903941516158,23.21173467142922,22.519081873056894,72,51,47
49440,21.559500336536647,23.43220573923845,22.47259887633874,66,48,50
49440,19.66858543184595,24.442949086572902,22.42579904718958,71,50,48
49440,19.66858543184595,27.9498217548734,22.40809722718104,68,53,45
49440,19.62507866145328,23.620102422809712,22.40160607604756,73,63,35
49440,19.529535848299496,24.39654961324764,22.399792992331005,69,62,36
49440,19.23105251953908,23.350644025800946,22.37611148218588,72,59,39
49440,18.28204524809163,23.659072297366354,22.08989213591115,61,57,41
49440,18.00628275729504,26.907319463194437,21.639312141117916,54,69,29
49440,17.948412029555165,28.109624168935373,21.43274794962942,48,60,38
49440,15.446003101970312,25.83914616956849,21.15759113010217,39,64,34
49440,14.711950745249057,33.415824880288675,20.881539236265734,39,64,34
49440,14.711950745249057,35.894287663082636,20.682980554311698,28,69,29
49440,14.711950745249057,34.962215031448416,20.645644948116995,36,67,31
49440,12.915192244532042,35.2282358587224,20.302963811820124,39,67,31
49440,12.915192244532042,35.11985688827915,19.85130083854428,40,57,41
49440,12.915192244532042,71.71096333714367,20.929276372651653,42,58,40
49440,12.40977731725435,32.07195690012124,18.310039922812894,43,57,41
49440,12.40977731725435,27.309308645667127,18.133330886759392,45,61,37
49440,12.40977731725435,43.20286300609407,18.410548426445487,41,59,39
49440,12.34893519369223,43.48883520986277,17.75549907691728,34,58,40
49440,12.296135212412842,59.55319834298854,16.480872707924384,42,62,36
49440,11.381324705663594,59.55319834298854,17.042998612561302,26,70,28
49440,11.381324705663594,27.985403783474233,15.845154356204812,38,61,37
49440,10.319735197103181,23.577113752382385,14.739892322108313,44,73,25
49440,9.686316460825745,31.523115718251557,14.629683734987488,36,65,33
49440,9.484200291368806,22.515965079099214,14.002190431401552,40,60,38
49440,9.484200291368806,24.43075091682664,13.815502595270443,41,68,30
49440,9.484200291368806,41.614349012944466,15.187392373366988,41,70,28
49440,8.412457566349158,76.4252420552114,16.764499377417756,42,67,31
49440,8.412457566349158,164.91185142253187,16.5057882552892,36,68,30
49440,8.412457566349158,32.651779336166435,14.210767398772816,44,68,30
49440,8.412457566349158,23.40158479070253,13.909343477804061,38,71,27
49440,8.412457566349158,26.991757437660397,14.090667459071977,38,66,32
49440,8.412457566349158,37.523343912715916,14.191082533414901,41,64,34
49440,8.412457566349158,26.690954957894597,14.075796550440424,35,66,32
49440,8.251405502668675,30.31549066886712,12.800817914033349,40,56,42
49440,8.251405502668675,19.182162396655954,12.129292035330582,49,57,41
49440,8.251405502668675,29.26544339384474,12.404754989757267,42,74,24
49440,7.912469235971286,27.63056486497485,11.733769243119381,42,62,36
49440,7.912469235971286,22.804956807071473,11.902572044980396,38,67,31
49440,7.912469235971286,32.86595732969822,11.807814305102074,36,70,28
49440,7.790713179273468,26.49684736275206,10.66453799241708,46,65,33
49440,7.6115206344952595,19.195559065944312,10.048909929802647,41,64,34
49440,7.045645567065108,67.36301533290771,11.12504343935766,38,65,33
